Line_No.,Grazer_Spp.,Start_Date,Start_Time,End_Date,End_Time,Replicate_No.,Treatment,Algae,Algae_Wi,Algae_Wf,Algae_CF,Algae_Wd,Grazer_Biomass,Water_Temp,Air_Temp,Flow_Rate,notes
1,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC1,control,Real,2.661,2.332,0.8764,NA,NA,23,24,0.0307,measuring device to the thousanths value
2,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE1,exp,Real,2.301,2.332,NA,-0.3155,NA,23,24,0.0307,
3,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC1,control,Agar,13.156,13.128,0.9978,NA,NA,23,24,0.0307,
4,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE1,exp,Agar,11.059,7.882,NA,3.1529,18.212,23,24,0.0307,
5,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC2,control,Real,2.684,2.308,0.8599,NA,NA,23,24,0.0307,
6,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE2,exp,Real,1.727,1.362,NA,0.1234,NA,23,24,0.0307,
7,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC2,control,Agar,13.948,14.043,1.0068,NA,NA,23,24,0.0307,
8,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE2,exp,Agar,11.991,9.721,NA,2.352,16.214,23,24,0.0307,
9,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC3,control,Real,3.173,2.729,0.8601,NA,NA,23,24,0.0307,
10,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE3,exp,Real,1.783,1.720,NA,-0.1868,NA,23,24,0.0307,
11,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC3,control,Agar,13.94,13.766,0.9875,NA,NA,23,24,0.0307,
12,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE3,exp,Agar,10.869,8.318,NA,2.4147,18.38,23,24,0.0307,
13,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloRC4,control,Real,2.232,1.909,0.8555,NA,NA,23,24,0.0307,
14,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloRE4,exp,Real,1.869,1.178,NA,0.4209,NA,23,24,0.0307,
15,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloAC4,control,Agar,14.582,14.459,0.9915,NA,NA,23,24,0.0307,
16,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloAE4,exp,Agar,13.163,9.098,NA,3.9539,14.104,23,24,0.0307,
17,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC5,control,Real,2.93,2.838,0.9685,NA,NA,23,24,0.0307,
18,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE5,exp,Real,2.357,2.186,NA,0.0972,NA,23,24,0.0307,
19,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC5,control,Agar,11.881,11.782,0.9917,NA,NA,23,24,0.0307,
20,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE5,exp,Agar,10.963,8.458,NA,2.4134,14.356,23,24,0.0307,
21,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloRC6,control,Real,3.039,2.853,0.9388,NA,NA,23,24,0.0307,
22,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloRE6,exp,Real,1.966,1.760,NA,0.0857,NA,23,24,0.0307,
23,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloAC6,control,Agar,13.723,13.712,0.9992,NA,NA,23,24,0.0307,
24,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloAE6,exp,Agar,11.22,8.560,NA,2.6513,16.941,23,24,0.0307,
25,Chlorostoma,7/11/19,13:23,7/14/19,5:30,ChloRC7,control,Real,2.417,2.126,0.8797,NA,NA,23,24,0.0307,
26,Chlorostoma,7/11/19,13:23,7/14/19,5:30,ChloRE7,exp,Real,1.92,1.774,NA,-0.085,NA,23,24,0.0307,
27,Chlorostoma,7/11/19,13:23,7/14/19,5:30,ChloAC7,control,Agar,11.605,11.547,0.995,NA,NA,23,24,0.0307,
28,Chlorostoma,7/11/19,13:23,7/14/19,5:30,ChloAE7,exp,Agar,10.596,7.885,NA,2.658,12.843,23,24,0.0307,
29,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloRC8,control,Real,2.614,2.260,0.8646,NA,NA,23,24,0.0307,
30,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloRE8,exp,Real,2.051,1.828,NA,-0.0548,NA,23,24,0.0307,
31,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloAC8,control,Agar,12.158,12.129,0.9976,NA,NA,23,24,0.0307,
32,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloAE8,exp,Agar,11.682,9.651,NA,2.0031,12.438,23,24,0.0307,
33,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloRC9,control,Real,2.641,2.226,0.8429,NA,NA,23,24,0.0307,
34,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloRE9,exp,Real,1.896,1.724,NA,-0.1263,NA,23,24,0.0307,
35,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloAC9,control,Agar,11.2007,11.112,0.9921,NA,NA,23,24,0.0307,
36,Chlorostoma,7/11/19,13:23,7/14/19,9:00,ChloAE9,exp,Agar,11.718,8.626,NA,2.9992,15.022,23,24,0.0307,
37,Chlorostoma,7/11/19,13:23,7/15/19,7:00,ChloRC10,control,Real,2.526,2.180,0.863,NA,NA,23,24,0.0307,
38,Chlorostoma,7/11/19,13:23,7/15/19,7:00,ChloRE10,exp,Real,2.603,1.000,NA,1.2465,NA,23,24,0.0307,
39,Chlorostoma,7/11/19,13:23,7/15/19,7:00,ChloAC10,control,Agar,12.054,11.968,0.9929,NA,NA,23,24,0.0307,
40,Chlorostoma,7/11/19,13:23,7/15/19,7:00,ChloAE10,exp,Agar,13.206,9.251,NA,3.8608,17.567,23,24,0.0307,
41,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC11,control,Real,3.054,2.683,0.8784,NA,NA,23,24,0.0307,
42,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE11,exp,Real,1.445,1.468,NA,-0.1987,NA,23,24,0.0307,
43,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC11,control,Agar,11.343,11.364,1.0018,NA,NA,23,24,0.0307,
44,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE11,exp,Agar,13.155,9.380,NA,3.7992,17.785,23,24,0.0307,
45,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloRC12,control,Real,12.133,11.981,0.987463941,NA,NA,23,24,0.0307,
46,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloRE12,exp,Real,1.989,1.635,NA,0.3291,NA,23,24,0.0307,
47,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloAC12,control,Agar,12.009,11.981,0.9977,NA,NA,23,24,0.0307,
48,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloAE12,exp,Agar,11.321,8.608,NA,2.6866,13.67,23,24,0.0307,
49,Chlorostoma,7/11/19,13:23,7/15/19,10:00,ChloRC13,control,Real,2.211,1.690,0.7643,NA,NA,23,24,0.0307,
50,Chlorostoma,7/11/19,13:23,7/15/19,10:00,ChloRE13,exp,Real,1.985,1.436,NA,0.0814,NA,23,24,0.0307,
51,Chlorostoma,7/11/19,13:23,7/15/19,10:00,ChloAC13,control,Agar,11.7,11.720,1.0017,NA,NA,23,24,0.0307,
52,Chlorostoma,7/11/19,13:23,7/15/19,10:00,ChloAE13,exp,Agar,11.587,9.731,NA,1.8764,12.067,23,24,0.0307,
53,Chlorostoma,7/11/19,13:23,7/13/19,10:00,ChloRC14,control,Real,2.196,1.942,0.8843,NA,NA,23,24,0.0307,
54,Chlorostoma,7/11/19,13:23,7/13/19,10:00,ChloRE14,exp,Real,2.036,1.800,NA,0.0005,NA,23,24,0.0307,
55,Chlorostoma,7/11/19,13:23,7/13/19,10:00,ChloAC14,control,Agar,14.211,14.272,1.0043,NA,NA,23,24,0.0307,
56,Chlorostoma,7/11/19,13:23,7/13/19,10:00,ChloAE14,exp,Agar,11.61,9.478,NA,2.1818,17.222,23,24,0.0307,
57,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRC1,control,Real,1.927,1.791,0.9292,NA,NA,23,22,0.0357,
58,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRE1,exp,Real,2.652,2.198,NA,0.2659,NA,23,22,0.0357,
59,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAC1,control,Agar,11.53,11.429,0.9913,NA,NA,23,22,0.0357,
60,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAE1,exp,Agar,13.799,8.212,NA,5.4663,10.49,23,22,0.0357,
61,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagRC2,control,Real,2.222,1.886,0.8488,NA,NA,23,22,0.0357,
62,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagRE2,exp,Real,1.978,1.702,NA,-0.0231,NA,23,22,0.0357,
63,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagAC2,control,Agar,12.293,12.139,0.9875,NA,NA,23,22,0.0357,
64,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagAE2,exp,Agar,14.218,8.879,NA,5.1609,7.943,23,22,0.0357,
65,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagRC3,control,Real,2.362,2.271,0.9615,NA,NA,23,22,0.0357,
66,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagRE3,exp,Real,2.841,2.522,NA,0.2095,NA,23,22,0.0357,
67,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagAC3,control,Agar,12.263,12.255,0.9993,NA,NA,23,22,0.0357,
68,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagAE3,exp,Agar,13.703,7.915,NA,5.7791,7.459,23,22,0.0357,
69,Pagurus samuelis,7/11/19,14:16,7/14/19,9:00,PagRC4,control,Real,2.342,2.081,0.8886,NA,NA,23,22,0.0357,
70,Pagurus samuelis,7/11/19,14:16,7/14/19,9:00,PagRE4,exp,Real,1.688,1.710,NA,-0.2101,NA,23,22,0.0357,
71,Pagurus samuelis,7/11/19,14:16,7/14/19,9:00,PagAC4,control,Agar,11.6,11.382,0.9812,NA,NA,23,22,0.0357,
72,Pagurus samuelis,7/11/19,14:16,7/14/19,9:00,PagAE4,exp,Agar,13.328,6.175,NA,6.9025,8.77,23,22,0.0357,
73,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRC5,control,Real,2.187,1.947,0.8903,NA,NA,23,22,0.0357,
74,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRE5,exp,Real,1.904,1.735,NA,-0.0399,NA,23,22,0.0357,
75,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAC5,control,Agar,11.888,11.846,0.9965,NA,NA,23,22,0.0357,
76,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAE5,exp,Agar,14.096,9.333,NA,4.7137,7.425,23,22,0.0357,
77,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRC6,control,Real,1.847,1.378,0.7463,NA,NA,23,22,0.0357,
78,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRE6,exp,Real,2.529,1.959,NA,-0.0716,NA,23,22,0.0357,
79,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAC6,control,Agar,12.186,12.167,0.9984,NA,NA,23,22,0.0357,
80,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAE6,exp,Agar,15.596,9.552,NA,6.0195,11.074,23,22,0.0357,
81,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagRC7,control,Real,2.469,2.160,0.8748,NA,NA,23,22,0.0357,
82,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagRE7,exp,Real,2.717,2.333,NA,0.044,NA,23,22,0.0357,
83,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagAC7,control,Agar,14.725,14.745,1.0014,NA,NA,23,22,0.0357,
84,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagAE7,exp,Agar,11.539,6.243,NA,5.3117,10.92,23,22,0.0357,
85,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRC8,control,Real,1.912,1.637,0.8564,NA,NA,23,22,0.0357,
86,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagRE8,exp,Real,2.641,1.835,NA,0.4267,NA,23,22,0.0357,
87,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAC8,control,Agar,15.421,15.325,0.9938,NA,NA,23,22,0.0357,
88,Pagurus samuelis,7/11/19,14:16,7/16/19,15:00,PagAE8,exp,Agar,12.252,7.617,NA,4.5588,7.528,23,22,0.0357,
89,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagRC9,control,Real,2.002,1.733,0.8656,NA,NA,23,22,0.0357,
90,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagRE9,exp,Real,2.905,2.424,NA,0.0907,NA,23,22,0.0357,
91,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagAC9,control,Agar,10.362,10.181,0.9825,NA,NA,23,22,0.0357,
92,Pagurus samuelis,7/11/19,14:16,7/15/19,7:00,PagAE9,exp,Agar,11.761,8.249,NA,3.3066,7.341,23,22,0.0357,
93,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagRC10,control,Real,2.015,1.894,0.9401,NA,NA,23,22,0.0357,
94,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagRE10,exp,Real,2.819,2.425,NA,0.2247,NA,23,22,0.0357,
95,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagAC10,control,Agar,10.382,10.005,0.9637,NA,NA,23,22,0.0357,
96,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagAE10,exp,Agar,13.103,8.382,NA,4.2456,8.132,23,22,0.0357,
97,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagRC11,control,Real,2.073,1.855,0.8948,NA,NA,23,22,0.0357,
98,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagRE11,exp,Real,2.589,2.082,NA,0.2347,NA,23,22,0.0357,
99,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagAC11,control,Agar,12.023,11.781,0.9799,NA,NA,23,22,0.0357,
100,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagAE11,exp,Agar,13.965,8.471,NA,5.2126,9.885,23,22,0.0357,
101,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagRC12,control,Real,2.533,2.273,0.8974,NA,NA,23,22,0.0357,
102,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagRE12,exp,Real,2.472,2.144,NA,0.0743,NA,23,22,0.0357,
103,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagAC12,control,Agar,13.266,13.115,0.9886,NA,NA,23,22,0.0357,
104,Pagurus samuelis,7/11/19,14:16,7/13/19,10:00,PagAE12,exp,Agar,13.486,7.772,NA,5.5605,11.605,23,22,0.0357,
105,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagRC13,control,Real,2.939,2.918,0.9929,NA,NA,23,22,0.0357,
106,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagRE13,exp,Real,2.344,2.047,NA,0.2799,NA,23,22,0.0357,
107,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagAC13,control,Agar,11.333,11.386,1.0047,NA,NA,23,22,0.0357,
108,Pagurus samuelis,7/11/19,14:16,7/13/19,19:00,PagAE13,exp,Agar,14.074,8.315,NA,5.8246,10.794,23,22,0.0357,
109,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagRC14,control,Real,2.279,1.988,0.8723,NA,NA,23,22,0.0357,
110,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagRE14,exp,Real,2.176,1.776,NA,0.1222,NA,23,22,0.0357,
111,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagAC14,control,Agar,12.82,8.337,0.6503,NA,NA,23,22,0.0357,
112,Pagurus samuelis,7/11/19,14:16,7/14/19,19:00,PagAE14,exp,Agar,12.523,8.418,NA,-0.2741,8,23,22,0.0357,