date,trial_no.,trt,rep_no.,grazer_spp.,algae_spp.,wi,wf,Cf/Ci,correction_factor,Wd
5/11/21,1,Control,MHC14,Control H,Macrocystis,9.526,10.168,1.067,NA,NA
5/11/21,1,Control,MHC15,Control H,Macrocystis,12.247,9.269,0.757,NA,NA
5/10/21,2,Experimental,STE1,Tegula,Sargassum,8.702,1.908,NA,1.182,8.377
5/10/21,2,Experimental,STE2,Tegula,Sargassum,11.235,9.644,NA,0.727,-1.481
5/10/21,2,Experimental,STE3,Tegula,Sargassum,7.197,5.439,NA,0.645,-0.8
5/10/21,2,Experimental,STE4,Tegula,Sargassum,5.919,3.088,NA,0.772,1.482
5/10/21,2,Experimental,STE5,Tegula,Sargassum,5.168,2.91,NA,0.834,1.4
5/10/21,2,Experimental,STE6,Tegula,Sargassum,16.511,9.111,NA,0.455,-1.593
5/10/21,2,Experimental,STE7,Tegula,Sargassum,7.261,5.185,NA,0.725,0.081
5/10/21,2,Experimental,STE8,Tegula,Sargassum,9.312,5.641,NA,0.81,1.902
5/10/21,2,Experimental,STE9,Tegula,Sargassum,7.446,5.184,NA,0.588,-0.805
5/10/21,2,Experimental,STE10,Tegula,Sargassum,10.452,8.416,NA,0.853,0.502
5/10/21,2,Experimental,STE11,Tegula,Sargassum,11.29,7.79,NA,0.754,0.718
5/10/21,2,Experimental,STE12,Tegula,Sargassum,5.812,3.335,NA,0.832,1.502
5/10/21,2,Experimental,STE13,Tegula,Sargassum,10.619,7.088,NA,0.801,1.421
5/10/21,2,Experimental,STE14,Tegula,Sargassum,7.318,5.599,NA,1.025,1.9
5/10/21,2,Experimental,STE15,Tegula,Sargassum,10.768,8.939,NA,0.88,0.536
5/10/21,2,Experimental,SPE1,Pagurus,Sargassum,9.89,6.348,NA,1.182,5.341
5/10/21,2,Experimental,SPE2,Pagurus,Sargassum,5.794,2.119,NA,0.727,2.091
5/10/21,2,Experimental,SPE3,Pagurus,Sargassum,8.217,0.588,NA,0.645,4.708
5/10/21,2,Experimental,SPE4,Pagurus,Sargassum,6.166,1.348,NA,0.772,3.413
5/10/21,2,Experimental,SPE5,Pagurus,Sargassum,4.44,1.109,NA,0.834,2.594
5/10/21,2,Experimental,SPE6,Pagurus,Sargassum,13.321,2.821,NA,0.455,3.245
5/10/21,2,Experimental,SPE7,Pagurus,Sargassum,3.971,1.966,NA,0.725,0.914
5/10/21,2,Experimental,SPE8,Pagurus,Sargassum,8.337,1.799,NA,0.81,4.954
5/10/21,2,Experimental,SPE9,Pagurus,Sargassum,6.993,1.122,NA,0.588,2.991
5/10/21,2,Experimental,SPE10,Pagurus,Sargassum,8.338,3.48,NA,0.853,3.634
5/10/21,2,Experimental,SPE11,Pagurus,Sargassum,6.55,2.742,NA,0.754,2.194
5/10/21,2,Experimental,SPE12,Pagurus,Sargassum,7.028,3.486,NA,0.832,2.363
5/10/21,2,Experimental,SPE13,Pagurus,Sargassum,9.145,3.563,NA,0.801,3.765
5/10/21,2,Experimental,SPE14,Pagurus,Sargassum,7.397,2.8,NA,1.025,4.78
5/10/21,2,Experimental,SPE15,Pagurus,Sargassum,10.95,6.696,NA,0.88,2.939
5/10/21,2,Control,SC1,Control,Sargassum,5.251,6.206,1.182,NA,NA
5/10/21,2,Control,SC2,Control,Sargassum,11.822,8.59,0.727,NA,NA
5/10/21,2,Control,SC3,Control,Sargassum,6.454,4.16,0.645,NA,NA
5/10/21,2,Control,SC4,Control,Sargassum,9.081,7.012,0.772,NA,NA
5/10/21,2,Control,SC5,Control,Sargassum,5.074,4.232,0.834,NA,NA
5/10/21,2,Control,SC6,Control,Sargassum,9.72,4.426,0.455,NA,NA
5/10/21,2,Control,SC7,Control,Sargassum,6.22,4.511,0.725,NA,NA
5/10/21,2,Control,SC8,Control,Sargassum,7.311,5.922,0.81,NA,NA
5/10/21,2,Control,SC9,Control,Sargassum,4.358,2.563,0.588,NA,NA
5/10/21,2,Control,SC10,Control,Sargassum,7.98,6.809,0.853,NA,NA
5/10/21,2,Control,SC11,Control,Sargassum,5.843,4.403,0.754,NA,NA
5/10/21,2,Control,SC12,Control,Sargassum,8.127,6.764,0.832,NA,NA
5/10/21,2,Control,SC13,Control,Sargassum,8.29,6.643,0.801,NA,NA
5/10/21,2,Control,SC14,Control,Sargassum,8.328,8.534,1.025,NA,NA
5/10/21,2,Control,SC15,Control,Sargassum,12.621,11.105,0.88,NA,NA
5/11/21,2,Experimental,SHE1,Haliotis,Sargassum,8.23,0.818,NA,0.999,7.403
5/11/21,2,Experimental,SHE2,Haliotis,Sargassum,5.25,1.68,NA,0.901,3.050
5/11/21,2,Experimental,SHE3,Haliotis,Sargassum,6.89,6.433,NA,0.953,0.13
5/11/21,2,Experimental,SHE4,Haliotis,Sargassum,6.85,1.556,NA,0.952,4.968
5/11/21,2,Experimental,SHE5,Haliotis,Sargassum,11.107,4.088,NA,0.866,5.533
5/11/21,2,Experimental,SHE6,Haliotis,Sargassum,7.56,5.116,NA,0.955,2.106
5/11/21,2,Experimental,SHE7,Haliotis,Sargassum,10.515,6.333,NA,0.853,2.632
5/11/21,2,Experimental,SHE8,Haliotis,Sargassum,9.712,3.959,NA,0.808,3.886
5/11/21,2,Experimental,SHE9,Haliotis,Sargassum,7.611,2.567,NA,0.965,4.775
5/11/21,2,Experimental,SHE10,Haliotis,Sargassum,8.87,4.373,NA,0.508,0.131
5/11/21,2,Experimental,SHE11,Haliotis,Sargassum,8.57,3.94,NA,0.919,3.932
5/11/21,2,Experimental,SHE12,Haliotis,Sargassum,11.531,7.626,NA,0.82,1.827
5/11/21,2,Experimental,SHE13,Haliotis,Sargassum,13.198,3.715,NA,0.732,5.949
5/11/21,2,Experimental,SHE14,Haliotis,Sargassum,6.3,2.853,NA,0.829,2.37
5/11/21,2,Experimental,SHE15,Haliotis,Sargassum,8.28,2.283,NA,0.907,5.231
5/11/21,2,Control,SHC1,Control H,Sargassum,8.91,8.9,0.999,NA,NA
5/11/21,2,Control,SHC2,Control H,Sargassum,7.77,7,0.901,NA,NA
5/11/21,2,Control,SHC3,Control H,Sargassum,6.59,6.277,0.953,NA,NA
5/11/21,2,Control,SHC4,Control H,Sargassum,8.64,8.229,0.952,NA,NA
5/11/21,2,Control,SHC5,Control H,Sargassum,9.381,8.126,0.866,NA,NA
5/11/21,2,Control,SHC6,Control H,Sargassum,10.7,10.222,0.955,NA,NA
5/11/21,2,Control,SHC7,Control H,Sargassum,9.351,7.973,0.853,NA,NA
5/11/21,2,Control,SHC8,Control H,Sargassum,15.651,12.643,0.808,NA,NA
5/11/21,2,Control,SHC9,Control H,Sargassum,7.23,6.974,0.965,NA,NA
5/11/21,2,Control,SHC10,Control H,Sargassum,6.7,3.402,0.508,NA,NA
5/11/21,2,Control,SHC11,Control H,Sargassum,8.78,8.065,0.919,NA,NA
5/11/21,2,Control,SHC12,Control H,Sargassum,4.877,3.998,0.82,NA,NA
5/11/21,2,Control,SHC13,Control H,Sargassum,7.417,5.431,0.732,NA,NA
5/11/21,2,Control,SHC14,Control H,Sargassum,10.3,8.539,0.829,NA,NA
5/11/21,2,Control,SHC15,Control H,Sargassum,8.14,7.387,0.907,NA,NA
5/10/21,2,Experimental,MTE1,Tegula,Macrocystis,9.385,12.562,NA,0.863,-4.464
5/10/21,2,Experimental,MTE2,Tegula,Macrocystis,7.851,7.143,NA,1.392,3.786
5/10/21,2,Experimental,MTE3,Tegula,Macrocystis,5.481,4.002,NA,1.097,2.009
5/10/21,2,Experimental,MTE4,Tegula,Macrocystis,6.925,6.232,NA,0.987,0.601
5/10/21,2,Experimental,MTE5,Tegula,Macrocystis,4.976,2.372,NA,1.022,2.713
5/10/21,2,Experimental,MTE6,Tegula,Macrocystis,15.532,10.728,NA,0.559,-2.05
5/10/21,2,Experimental,MTE7,Tegula,Macrocystis,6.531,5.96,NA,1.003,0.593
5/10/21,2,Experimental,MTE8,Tegula,Macrocystis,6.544,5.409,NA,0.952,0.822
5/10/21,2,Experimental,MTE9,Tegula,Macrocystis,5.41,2.906,NA,0.77,1.258
5/10/21,2,Experimental,MTE10,Tegula,Macrocystis,9.409,8.011,NA,1.102,2.357
5/10/21,2,Experimental,MTE11,Tegula,Macrocystis,5.945,5.567,NA,1.044,0.642
5/10/21,2,Experimental,MTE12,Tegula,Macrocystis,7.54,7.388,NA,0.704,-2.082
5/10/21,2,Experimental,MTE13,Tegula,Macrocystis,5.811,5.108,NA,0.9,0.123
5/10/21,2,Experimental,MTE14,Tegula,Macrocystis,8.321,5.133,NA,1.278,5.504
5/10/21,2,Experimental,MTE15,Tegula,Macrocystis,7.545,7.333,NA,0.989,0.129
5/10/21,2,Experimental,MPE1,Pagurus,Macrocystis,13.703,8.92,NA,0.863,2.904
5/10/21,2,Experimental,MPE2,Pagurus,Macrocystis,5.404,5.794,NA,1.392,1.729
5/10/21,2,Experimental,MPE3,Pagurus,Macrocystis,6.728,11.759,NA,1.097,-4.38
5/10/21,2,Experimental,MPE4,Pagurus,Macrocystis,8.405,7.587,NA,0.987,0.706
5/10/21,2,Experimental,MPE5,Pagurus,Macrocystis,7.809,5.741,NA,1.022,2.239
5/10/21,2,Experimental,MPE6,Pagurus,Macrocystis,13.131,8.003,NA,0.559,-0.667
5/10/21,2,Experimental,MPE7,Pagurus,Macrocystis,5.45,4.469,NA,1.003,1
5/10/21,2,Experimental,MPE8,Pagurus,Macrocystis,6.239,6.255,NA,0.952,-0.314
5/10/21,2,Experimental,MPE9,Pagurus,Macrocystis,4.368,2.103,NA,0.77,1.259
5/10/21,2,Experimental,MPE10,Pagurus,Macrocystis,10.971,11.518,NA,1.102,0.571
5/10/21,2,Experimental,MPE11,Pagurus,Macrocystis,6.739,3.927,NA,1.044,3.111
5/10/21,2,Experimental,MPE12,Pagurus,Macrocystis,8.343,7.843,NA,0.704,-1.972
5/10/21,2,Experimental,MPE13,Pagurus,Macrocystis,6.723,6.499,NA,0.9,-0.447
5/10/21,2,Experimental,MPE14,Pagurus,Macrocystis,7.198,3.702,NA,1.278,5.5
5/10/21,2,Experimental,MPE15,Pagurus,Macrocystis,9.002,5.555,NA,0.989,3.348
5/10/21,2,Control,MC1,Control,Macrocystis,7.913,6.828,0.863,NA,NA
5/10/21,2,Control,MC2,Control,Macrocystis,8.394,11.685,1.392,NA,NA
5/10/21,2,Control,MC3,Control,Macrocystis,5.647,6.193,1.097,NA,NA
5/10/21,2,Control,MC4,Control,Macrocystis,11.891,11.733,0.987,NA,NA
5/10/21,2,Control,MC5,Control,Macrocystis,4.196,4.288,1.022,NA,NA
5/10/21,2,Control,MC6,Control,Macrocystis,10.27,5.738,0.559,NA,NA
5/10/21,2,Control,MC7,Control,Macrocystis,4.65,4.666,1.003,NA,NA
5/10/21,2,Control,MC8,Control,Macrocystis,4.959,4.722,0.952,NA,NA
5/10/21,2,Control,MC9,Control,Macrocystis,3.1,2.386,0.77,NA,NA
5/10/21,2,Control,MC10,Control,Macrocystis,6.625,7.3,1.102,NA,NA
5/10/21,2,Control,MC11,Control,Macrocystis,7.783,8.128,1.044,NA,NA
5/10/21,2,Control,MC12,Control,Macrocystis,7.33,5.158,0.704,NA,NA
5/10/21,2,Control,MC13,Control,Macrocystis,4.8,4.321,0.9,NA,NA
5/10/21,2,Control,MC14,Control,Macrocystis,7.389,9.446,1.278,NA,NA
5/10/21,2,Control,MC15,Control,Macrocystis,9.71,9.603,0.989,NA,NA
5/11/21,2,Experimental,MHE1,Haliotis,Macrocystis,11.3,0.921,NA,1.174,12.346
5/11/21,2,Experimental,MHE2,Haliotis,Macrocystis,9.99,,NA,1.097,10.963
5/11/21,2,Experimental,MHE3,Haliotis,Macrocystis,9.07,4.186,NA,0.795,3.023
5/11/21,2,Experimental,MHE4,Haliotis,Macrocystis,7.75,0.886,NA,0.81,5.394
5/11/21,2,Experimental,MHE5,Haliotis,Macrocystis,9.921,4.713,NA,0.994,5.15
5/11/21,2,Experimental,MHE6,Haliotis,Macrocystis,8.86,0.463,NA,1.424,12.153
5/11/21,2,Experimental,MHE7,Haliotis,Macrocystis,11.45,1.089,NA,1.002,10.382
5/11/21,2,Experimental,MHE8,Haliotis,Macrocystis,12.624,0.0358,NA,0.941,11.846
5/11/21,2,Experimental,MHE9,Haliotis,Macrocystis,8.831,0.33,NA,1.024,8.709
5/11/21,2,Experimental,MHE10,Haliotis,Macrocystis,4.37,1.713,NA,1.46,4.666
5/11/21,2,Experimental,MHE11,Haliotis,Macrocystis,6.62,6.334,NA,1.175,1.446
5/11/21,2,Experimental,MHE12,Haliotis,Macrocystis,9.72,0.223,NA,1.059,10.074
5/11/21,2,Experimental,MHE13,Haliotis,Macrocystis,12.111,1.847,NA,1.046,10.818
5/11/21,2,Experimental,MHE14,Haliotis,Macrocystis,9.39,1.301,NA,0.841,6.591
5/11/21,2,Experimental,MHE15,Haliotis,Macrocystis,8.66,2.006,NA,1.041,7.011
5/11/21,2,Control,MHC1,Control H,Macrocystis,7.91,9.287,1.174,NA,NA
5/11/21,2,Control,MHC2,Control H,Macrocystis,9.47,10.392,1.097,NA,NA
5/11/21,2,Control,MHC3,Control H,Macrocystis,9.56,7.598,0.795,NA,NA
5/11/21,2,Control,MHC4,Control H,Macrocystis,7.62,6.175,0.81,NA,NA
5/11/21,2,Control,MHC5,Control H,Macrocystis,8.578,8.528,0.994,NA,NA
5/11/21,2,Control,MHC6,Control H,Macrocystis,7.69,10.95,1.424,NA,NA
5/11/21,2,Control,MHC7,Control H,Macrocystis,9.737,9.755,1.002,NA,NA
5/11/21,2,Control,MHC8,Control H,Macrocystis,7.333,6.902,0.941,NA,NA
5/11/21,2,Control,MHC9,Control H,Macrocystis,7.4,7.574,1.024,NA,NA
5/11/21,2,Control,MHC10,Control H,Macrocystis,4.49,6.554,1.46,NA,NA
5/11/21,2,Control,MHC11,Control H,Macrocystis,10.1,11.87,1.175,NA,NA
5/11/21,2,Control,MHC12,Control H,Macrocystis,8.227,8.715,1.059,NA,NA
5/11/21,2,Control,MHC13,Control H,Macrocystis,8.322,8.703,1.046,NA,NA
5/11/21,2,Control,MHC14,Control H,Macrocystis,11.5,9.666,0.841,NA,NA
5/11/21,2,Control,MHC15,Control H,Macrocystis,13,13.536,1.041,NA,NA