line_no.,grazer_spp.,start_date,start_time,end_date,end_time,rep_no.,trt,algae_spp.,algae_Wi,algae_Wf,algae_Cf,algae_avg_Cf,algae_Wd,grazer_biomass,water_temp,air_temp,flow_rate
1,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,APagE1,exp,adult sargassum,10.841,9.9748,NA,0.997373483,0.837725925,0.837725925,14,23,0.03071253
2,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,JPagE1,exp,juv sargassum,10.9181,8.6853,NA,1.004425525,2.281118327,2.281118327,14,23,0.03071253
3,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE2,exp,adult sargassum,12.4649,9.4,NA,0.997373483,3.032160723,3.032160723,14,23,0.03071253
4,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE2,exp,juv sargassum,10.6219,9.3931,NA,1.004425525,1.275807487,1.275807487,14,23,0.03071253
5,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE3,exp,adult sargassum,10.5113,8.4885,NA,0.997373483,1.995191888,1.995191888,14,23,0.03071253
6,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE3,exp,juv sargassum,11.2694,8.4195,NA,1.004425525,2.899773015,2.899773015,14,23,0.03071253
7,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE4,exp,adult sargassum,10.775,8.2148,NA,0.997373483,2.531899275,2.531899275,14,23,0.03071253
8,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE4,exp,juv sargassum,9.2923,8.4185,NA,1.004425525,0.914923309,0.914923309,14,23,0.03071253
9,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE5,exp,adult sargassum,11.502,10.5105,NA,0.997373483,0.961289797,0.961289797,14,23,0.03071253
10,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE5,exp,juv sargassum,10.1395,8.3401,NA,1.004425525,1.844272614,1.844272614,14,23,0.03071253
11,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,APagE6,exp,adult sargassum,11.9968,8.1583,NA,0.997373483,3.806990196,3.806990196,14,23,0.03071253
12,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,JPagE6,exp,juv sargassum,11.423,8.9877,NA,1.004425525,2.485852775,2.485852775,14,23,0.03071253
13,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE7,exp,adult sargassum,12.1141,11.8014,NA,0.997373483,0.280882106,0.280882106,14,23,0.03071253
14,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE7,exp,juv sargassum,10.8501,8.5967,NA,1.004425525,2.301417392,2.301417392,14,23,0.03071253
15,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,APagE8,exp,adult sargassum,10.4286,8.1489,NA,0.997373483,2.252309101,2.252309101,14,23,0.03071253
16,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,JPagE8,exp,juv sargassum,9.3956,7.8497,NA,1.004425525,1.587480465,1.587480465,14,23,0.03071253
17,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,APagE9,exp,adult sargassum,11.3289,9.2469,NA,0.997373483,2.052244447,2.052244447,14,23,0.03071253
18,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,JPagE9,exp,juv sargassum,14.5309,11.4696,NA,1.004425525,3.125606865,3.125606865,14,23,0.03071253
19,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,APagE10,exp,adult sargassum,11.5435,8.8934,NA,0.997373483,2.619780796,2.619780796,14,23,0.03071253
20,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,JPagE10,exp,juv sargassum,11.1863,10.243,NA,1.004425525,0.992805253,0.992805253,14,23,0.03071253
21,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE11,exp,adult sargassum,12.8109,9.7798,NA,0.997373483,2.997451948,2.997451948,14,23,0.03071253
22,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE11,exp,juv sargassum,10.1495,8.2617,NA,1.004425525,1.932716869,1.932716869,14,23,0.03071253
23,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE12,exp,adult sargassum,11.767,9.8132,NA,0.997373483,1.92289377,1.92289377,14,23,0.03071253
24,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE12,exp,juv sargassum,11.8887,11.9439,NA,1.004425525,-0.002586258,-0.002586258,14,23,0.03071253
25,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,APagE13,exp,adult sargassum,10.8853,8.9981,NA,0.997373483,1.85860957,1.85860957,14,23,0.03071253
26,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,JPagE13,exp,juv sargassum,10.9973,10.6582,NA,1.004425525,0.387768829,0.387768829,14,23,0.03071253
27,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,APagE14,exp,adult sargassum,10.9433,8.2642,NA,0.997373483,2.650357232,2.650357232,14,23,0.03071253
28,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,JPagE14,exp,juv sargassum,9.7648,9.2461,NA,1.004425525,0.561914369,0.561914369,14,23,0.03071253
29,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagC1,control,adult sargassum,9.8477,9.588,0.97362836,0.997373483,NA,NA,14,23,0.03071253
30,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagC1,control,juv sargassum,11.604,11.6147,1.000922096,1.004425525,NA,NA,14,23,0.03071253
31,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagC2,control,adult sargassum,9.598,9.6384,1.00420921,0.997373483,NA,NA,14,23,0.03071253
32,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagC2,control,juv sargassum,12.6521,12.6372,0.99882233,1.004425525,NA,NA,14,23,0.03071253
33,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagC3,control,adult sargassum,9.6667,9.7219,1.005710325,0.997373483,NA,NA,14,23,0.03071253
34,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagC3,control,juv sargassum,12.1216,12.2792,1.013001584,1.004425525,NA,NA,14,23,0.03071253
35,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagC4,control,adult sargassum,9.0985,9.1526,1.005946035,0.997373483,NA,NA,14,23,0.03071253
36,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagC4,control,juv sargassum,13.3573,13.4235,1.004956091,1.004425525,NA,NA,14,23,0.03071253
37,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE1,exp,adult sargassum,12.6306,10.966,NA,1.004032842,1.715537215,22.5839,14,23,0.03071253
38,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE1,exp,juv sargassum,12.9943,11.7034,NA,1.013567404,1.467198915,NA,14,23,0.03071253
39,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE2,exp,adult sargassum,10.5092,9.2451,NA,1.004032842,1.306481944,21.2506,14,23,0.03071253
40,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE2,exp,juv sargassum,10.1625,9.0916,NA,1.013567404,1.208778741,NA,14,23,0.03071253
41,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE3,exp,adult sargassum,11.3464,8.2649,NA,1.004032842,3.127258239,23.9277,14,23,0.03071253
42,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE3,exp,juv sargassum,11.0122,9.5161,NA,1.013567404,1.645506964,NA,14,23,0.03071253
43,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE4,exp,adult sargassum,9.8208,7.7108,NA,1.004032842,2.149605735,19.9298,14,23,0.03071253
44,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE4,exp,juv sargassum,10.5946,9.6643,NA,1.013567404,1.074041216,NA,14,23,0.03071253
45,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE5,exp,adult sargassum,11.5025,7.3298,NA,1.004032842,4.219087766,24.4884,14,23,0.03071253
46,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE5,exp,juv sargassum,10.6365,10.6233,NA,1.013567404,0.15750969,NA,14,23,0.03071253
47,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE6,exp,adult sargassum,11.3585,7.1761,NA,1.004032842,4.228207037,23.5951,14,23,0.03071253
48,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE6,exp,juv sargassum,9.1903,10.407,NA,1.013567404,-1.092011489,NA,14,23,0.03071253
49,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE7,exp,adult sargassum,9.5726,10.0838,NA,1.004032842,-0.472595216,22.942,14,23,0.03071253
50,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE7,exp,juv sargassum,11.3908,7.6217,NA,1.013567404,3.923643583,NA,14,23,0.03071253
51,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE8,exp,adult sargassum,11.3814,7.5463,NA,1.004032842,3.880999389,25.4342,14,23,0.03071253
52,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE8,exp,juv sargassum,9.0332,10.6914,NA,1.013567404,-1.535642928,NA,14,23,0.03071253
53,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE9,exp,adult sargassum,11.6164,8.4986,NA,1.004032842,3.164647107,25.821,14,23,0.03071253
54,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE9,exp,juv sargassum,10.9684,11.1142,NA,1.013567404,0.003012712,NA,14,23,0.03071253
55,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE10,exp,adult sargassum,13.7335,10.6187,NA,1.004032842,3.170185037,26.3125,14,23,0.03071253
56,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE10,exp,juv sargassum,11.3759,12.6898,NA,1.013567404,-1.159558571,NA,14,23,0.03071253
57,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE11,exp,adult sargassum,13.0139,7.979,NA,1.004032842,5.087383003,22.2633,14,23,0.03071253
58,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE11,exp,juv sargassum,10.4079,12.0398,NA,1.013567404,-1.490691818,NA,14,23,0.03071253
59,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE12,exp,adult sargassum,11.3345,11.3789,NA,1.004032842,0.001310248,22.1104,14,23,0.03071253
60,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE12,exp,juv sargassum,12.164,8.7218,NA,1.013567404,3.607233899,NA,14,23,0.03071253
61,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE13,exp,adult sargassum,11.2785,9.605,NA,1.004032842,1.718984409,26.5433,14,23,0.03071253
62,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE13,exp,juv sargassum,11.777,10.8035,NA,1.013567404,1.133283314,NA,14,23,0.03071253
63,Tegula,6/2/20,11:30,6/5/20,11:00,AChloE14,exp,adult sargassum,10.8984,10.1159,NA,1.004032842,0.826451526,24.7563,14,23,0.03071253
64,Tegula,6/2/20,11:30,6/5/20,11:00,JChloE14,exp,juv sargassum,12.4643,10.7031,NA,1.013567404,1.930308191,NA,14,23,0.03071253
65,Tegula,6/2/20,11:30,6/5/20,11:00,AChloC1,control,adult sargassum,10.7089,9.9424,0.928424021,1.004032842,NA,NA,14,23,0.03071253
66,Tegula,6/2/20,11:30,6/5/20,11:00,JChloC1,control,juv sargassum,9.874,10.8641,1.100273445,1.013567404,NA,NA,14,23,0.03071253
67,Tegula,6/2/20,11:30,6/5/20,11:00,AChloC2,control,adult sargassum,11.2467,11.5984,1.031271395,1.004032842,NA,NA,14,23,0.03071253
68,Tegula,6/2/20,11:30,6/5/20,11:00,JChloC2,control,juv sargassum,11.4153,11.2711,0.987367831,1.013567404,NA,NA,14,23,0.03071253
69,Tegula,6/2/20,11:30,6/5/20,11:00,AChloC3,control,adult sargassum,11.772,12.297,1.04459735,1.004032842,NA,NA,14,23,0.03071253
70,Tegula,6/2/20,11:30,6/5/20,11:00,JChloC3,control,juv sargassum,12.1378,11.763,0.969121258,1.013567404,NA,NA,14,23,0.03071253
71,Tegula,6/2/20,11:30,6/5/20,11:00,AChloC4,control,adult sargassum,12.02,12.1623,1.011838602,1.004032842,NA,NA,14,23,0.03071253
72,Tegula,6/2/20,11:30,6/5/20,11:00,JChloC4,control,juv sargassum,12.0742,12.0441,0.997507081,1.013567404,NA,NA,14,23,0.03071253
73,Haliotis rufescens,7/21/20,12:00,7/23/20,9:47,AAbE1,exp,adult sargassum,13.4364,13.3867,NA,1.008463431,0.163418044,37.6697,14,23,0.03071253
74,Haliotis rufescens,7/21/20,12:00,7/23/20,9:47,JAbE1,exp,juv sargassum,10.104,7.1601,NA,1.00342384,2.978494478,NA,14,23,0.03071253
75,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbE2,exp,adult sargassum,10.9099,8.4661,NA,1.008463431,2.536135186,26.4857,14,23,0.03071253
76,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbE2,exp,juv sargassum,9.3882,9.3053,NA,1.00342384,0.115043693,NA,14,23,0.03071253
77,Haliotis rufescens,7/21/20,12:00,7/24/20,10:30,AAbE3,exp,adult sargassum,14.3482,12.2436,NA,1.008463431,2.226035,28.5073,14,23,0.03071253
78,Haliotis rufescens,7/21/20,12:00,7/24/20,10:30,JAbE3,exp,juv sargassum,11.7017,8.6786,NA,1.00342384,3.063164746,NA,14,23,0.03071253
79,Haliotis rufescens,7/21/20,12:00,7/23/20,16:00,AAbE4,exp,adult sargassum,13.2586,9.6298,NA,1.008463431,3.741013246,30.0406,14,23,0.03071253
80,Haliotis rufescens,7/21/20,12:00,7/23/20,16:00,JAbE4,exp,juv sargassum,9.2521,8.9327,NA,1.00342384,0.351077708,NA,14,23,0.03071253
81,Haliotis rufescens,7/21/20,12:00,7/23/20,16:00,AAbE5,exp,adult sargassum,11.7803,7.8896,NA,1.008463431,3.990401756,32.7872,14,23,0.03071253
82,Haliotis rufescens,7/21/20,12:00,7/23/20,16:00,JAbE5,exp,juv sargassum,12.3619,11.7713,NA,1.00342384,0.632925165,NA,14,23,0.03071253
83,Haliotis rufescens,7/21/20,12:00,7/24/20,10:30,AAbE6,exp,adult sargassum,17.6521,16.8471,NA,1.008463431,0.95439733,34.508,14,23,0.03071253
84,Haliotis rufescens,7/21/20,12:00,7/24/20,10:30,JAbE6,exp,juv sargassum,10.6975,7.0563,NA,1.00342384,3.677826526,NA,14,23,0.03071253
85,Haliotis rufescens,7/21/20,12:00,7/22/20,17:00,AAbE7,exp,adult sargassum,12.8699,8.6016,NA,1.008463431,4.37722351,43.7952,14,23,0.03071253
86,Haliotis rufescens,7/21/20,12:00,7/22/20,17:00,JAbE7,exp,juv sargassum,9.764,9.7898,NA,1.00342384,0.007630372,NA,14,23,0.03071253
87,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbE8,exp,adult sargassum,11.9105,6.8255,NA,1.008463431,5.185803695,39.4993,14,23,0.03071253
88,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbE8,exp,juv sargassum,12.7068,12.5134,NA,1.00342384,0.236906048,NA,14,23,0.03071253
89,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbE9,exp,adult sargassum,13.9307,13.8908,NA,1.008463431,0.157801518,26.8123,14,23,0.03071253
90,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbE9,exp,juv sargassum,11.0879,8.2872,NA,1.00342384,2.838663193,NA,14,23,0.03071253
91,Haliotis rufescens,7/21/20,12:00,7/24/20,10:30,AAbE10,exp,adult sargassum,13.3136,12.9913,NA,1.008463431,0.434978735,30.5208,14,23,0.03071253
92,Haliotis rufescens,7/21/20,12:00,7/24/20,10:30,JAbE10,exp,juv sargassum,11.0335,8.1174,NA,1.00342384,2.953876937,NA,14,23,0.03071253
93,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbE11,exp,adult sargassum,13.9445,10.8302,NA,1.008463431,3.232318313,35.6954,14,23,0.03071253
94,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbE11,exp,juv sargassum,11.5326,9.7409,NA,1.00342384,1.831185775,NA,14,23,0.03071253
95,Haliotis rufescens,7/21/20,12:00,7/22/20,17:00,AAbE12,exp,adult sargassum,12.537,11.7788,NA,1.008463431,0.864306034,40.6171,14,23,0.03071253
96,Haliotis rufescens,7/21/20,12:00,7/22/20,17:00,JAbE12,exp,juv sargassum,12.5144,9.2798,NA,1.00342384,3.277447301,NA,14,23,0.03071253
97,Haliotis rufescens,7/21/20,12:00,7/23/20,16:00,AAbE13,exp,adult sargassum,11.3222,10.3024,NA,1.008463431,1.115624658,25.7738,14,23,0.03071253
98,Haliotis rufescens,7/21/20,12:00,7/23/20,16:00,JAbE13,exp,juv sargassum,11.4034,7.3839,NA,1.00342384,4.058543415,NA,14,23,0.03071253
99,Haliotis rufescens,7/21/20,12:00,7/23/20,9:47,AAbE14,exp,adult sargassum,10.7084,8.4144,NA,1.008463431,2.384629804,25.7183,14,23,0.03071253
100,Haliotis rufescens,7/21/20,12:00,7/23/20,9:47,JAbE14,exp,juv sargassum,12.5716,8.7252,NA,1.00342384,3.889443145,NA,14,23,0.03071253
101,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbC1,control,adult sargassum,11.0213,11.1572,1.012330669,1.008463431,NA,NA,14,23,0.03071253
102,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbC1,control,juv sargassum,10.3818,10.4074,1.002465854,1.00342384,NA,NA,14,23,0.03071253
103,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbC2,control,adult sargassum,10.1333,10.1949,1.006078967,1.008463431,NA,NA,14,23,0.03071253
104,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbC2,control,juv sargassum,11.8263,11.8746,1.004084118,1.00342384,NA,NA,14,23,0.03071253
105,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbC3,control,adult sargassum,11.7548,11.8414,1.007367203,1.008463431,NA,NA,14,23,0.03071253
106,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbC3,control,juv sargassum,15.6593,15.7074,1.003071657,1.00342384,NA,NA,14,23,0.03071253
107,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,AAbC4,control,adult sargassum,12.9753,13.0801,1.008076885,1.008463431,NA,NA,14,23,0.03071253
108,Haliotis rufescens,7/21/20,12:00,7/25/20,11:30,JAbC4,control,juv sargassum,10.8991,10.9435,1.004073731,1.00342384,NA,NA,14,23,0.03071253